slug,name,english_name,region_primary,region_secondary,address,phone,homepage_url,booking_url,map_url,membership_required,membership_note,booking_note,status,verification_status
gw-21-daf11173,센추리21컨트리클럽,,강원,원주,강원도 원주시 문막읍 궁말길 193,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-21-ii-58fb5f24,센추리21컨트리클럽Ⅱ,,강원,원주,강원도 원주시 문막읍 궁말길 193,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-21-9606815a,센추리21퍼블릭,,강원,원주,강원도 원주시 문막읍 궁말길 193,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-cd1d7a17,파크밸리골프클럽,,강원,원주,강원도 원주시 소초면 바우실길 281,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-1de52941,동서울레스피아,,강원,원주,강원도 원주시 지정면 신평석화로 236,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-5e8eeece,인터불고원주골프클럽,,강원,원주,강원도 원주시 동부순환로 200,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-c92fa6aa,샌드파인골프클럽,,강원,강릉,강원도 강릉시 저동등길 53,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-and-d7fdf935,메이플비치골프&리조트,,강원,강릉,강원도 강릉시 강동면 새목이길 110,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-c-c-a3c6adee,오투리조트 C.C,,강원,태백,강원도 태백시 서학로 861,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-4ca7b4de,오투리조트 골프,,강원,태백,강원도 태백시 서학로 861,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-e5d00329,설악프라자컨트리클럽,,강원,속초,강원도 속초시 미시령로 2983번길 56-20,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-005c60c6,영랑호컨트리클럽,,강원,속초,강원도 속초시 영랑호반길 170,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-e8bc54a7,파인밸리컨트리클럽,,강원,삼척,강원도 삼척시 근덕면 미근로 1629,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-8545fd51,블랙밸리컨트리클럽,,강원,삼척,강원도 삼척시 도계읍 도상로 307-84,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-f61e5a1c,소노펠리체 컨트리클럽 비발디파크 웨스트,,강원,홍천,강원도 홍천군 서면 한치골길 200,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-a9b8a351,소노펠리체 컨트리클럽 비발디파크 마운틴,,강원,홍천,강원도 홍천군 서면 한치골길 262,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-257b401e,소노펠리체 컨트리클럽 비발디파크 이스트,,강원,홍천,강원도 홍천군 서면 한치골길 541-123,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-2fafafde,비콘힐스골프클럽,,강원,홍천,강원도 홍천군 홍천읍 높은터로 533,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-e70d7204,힐드로사이컨트리클럽,,강원,홍천,강원도 홍천군 남면 한서로 2840,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-and-c2f470eb,클럽모우골프 &라이프스타일,,강원,홍천,강원도 홍천군 서면 장락동길66번길 51,,,,,false,대중제,odcloud batch import / holes=27 / source_count=1,active,draft
gw-course-9ceea4b4,세이지우드CC홍천,,강원,홍천,강원도 홍천군 두촌면 광석로 898-160,,,,,false,대중제,odcloud batch import / holes=27 / source_count=1,active,draft
gw-and-3bb6b29a,샤인데일골프&리조트,,강원,홍천,강원도 홍천군 서면 한서로 247-156,,,,,false,대중제,odcloud batch import / holes=27 / source_count=1,active,draft
gw-course-d16f2530,웰리힐리컨트리클럽,,강원,횡성,강원도 횡성군 둔내면 고원로 451,,,,,true,회원제,odcloud batch import / holes=36 / source_count=1,active,draft
gw-course-9ebbd422,웰리힐리퍼블릭골프장,,강원,횡성,강원도 횡성군 둔내면 고원로 451,,,,,false,대중제,odcloud batch import / holes=10 / source_count=1,active,draft
gw-course-fe9c891d,동원썬밸리컨트리클럽,,강원,횡성,강원도 횡성군 서원면 서원서로339번길 90,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-dee572a5,알프스대영컨트리클럽,,강원,횡성,강원도 횡성군 우천면 하우로 1295,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-5bf10d8c,에스엘세레스 옥스필드 CC,,강원,횡성,강원도 횡성군 서원면 경강로 유현6길 28,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-0575927b,동강시스타대중골프장,,강원,영월,강원도 영월군 영월읍 사지막길 160,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-8e0c13e9,용평리조트골프클럽,,강원,평창,강원도 평창군 대관령면 올림픽로 715,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-549a493a,용평버치힐골프클럽,,강원,평창,강원도 평창군 대관령면 올림픽로 715,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-c069f64a,용평리조트대중골프장,,강원,평창,강원도 평창군 대관령면 올림픽로 715,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gw-course-ba05b062,휘닉스 컨트리클럽,,강원,평창,강원도 평창군 봉평면 태기로 227-84,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-5fc22ddb,휘닉스대중골프장,,강원,평창,강원도 평창군 봉평면 태기로 227-84,,,,,false,대중제,odcloud batch import / holes=6 / source_count=1,active,draft
gw-course-c212c325,알펜시아컨트리클럽,,강원,평창,강원도 평창군 대관령면 솔봉로 325,,,,,true,회원제,odcloud batch import / holes=27 / source_count=1,active,draft
gw-700-7527699e,알펜시아 700골프클럽,,강원,평창,강원도 평창군 대관령면 솔봉로 325,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-2965e0de,하이원컨트리클럽,,강원,정선,강원도 정선군 고한읍 하이원길 265,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gw-course-1ff7dd03,에콜리안정선골프장,,강원,정선,강원도 정선군 신동읍 새골길 112-49,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
