course_slug,policy_type,source_type,source_url,source_title,captured_text,is_current,note
gg-course-7baa85f8,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 안성베네스트골프클럽 일반대중홀 / 안성시 금광면 삼흥로 660 / 대중제,true,full_safe_batch_2
gg-w-071dd926,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골프존카운티 안성W / 안성시 양성면 교동길 19-70 / 대중제,true,full_safe_batch_2
gg-course-5eb00f04,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 한림안성 / 안성시 양성면 양성로 349-61 / 대중제,true,full_safe_batch_2
gg-course-31ecfadb,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 에덴블루 컨트리클럽 / 안성시 죽산면 장능리 산160 / 대중제,true,full_safe_batch_2
gg-course-b2b67cda,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 필로스골프클럽 / 포천시 일동면 운악청계로 1507/ 포천시 일동면 기산리 (산) 142-1 / 대중제,true,full_safe_batch_2
gg-c-c-fc767035,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 포천아도니스 C.C / 포천시 신북면 포천로 2499 / 대중제,true,full_safe_batch_2
gg-course-7e2ef043,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 베어크리크골프클럽 / 포천시 화현면 달인동로 35 / 대중제,true,full_safe_batch_2
gg-course-c6703db8,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 몽베르컨트리클럽 / 포천시 영북면 산정호수로 359-13 / 대중제,true,full_safe_batch_2
gg-course-66b37b7a,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 일동레이크 골프클럽 / 포천시 일동면 화동로 738/일동면 유동리 21-2 / 회원제,true,full_safe_batch_2
gg-course-126589dc,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 일동레이크골프클럽 / 포천시 일동면 화동로 738 / 대중제,true,full_safe_batch_2
gg-course-531c2d23,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 푸른솔 골프클럽포천 / 포천시 가산면 금우로276 / 대중제,true,full_safe_batch_2
gg-course-32e46a29,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 포천힐스컨트리클럽 / 포천시 군내면 반월산성로 375번길 34 / 대중제,true,full_safe_batch_2
gg-c-c-91b935b7,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 포레스트힐 C.C / 포천시 화현면 명덕리 178-1번지 / 대중제,true,full_safe_batch_2
gg-course-396f6274,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 참밸리 컨트리클럽 / 포천시 삼육사로 1978 / 설운동 603번지 일원 / 대중제,true,full_safe_batch_2
gg-course-0dc6989a,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 샴발라 컨트리클럽 / 포천시 군내면 직두리 산1-1번지 일원 / 대중제,true,full_safe_batch_2
gg-course-f185460b,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 라싸 골프클럽 / 포천시 이동면 산142-1번지 일원 / 대중제,true,full_safe_batch_2
gg-course-9f15e734,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 더스타휴 컨트리클럽 / 양평군 양동면 양동로 756 / 회원제,true,full_safe_batch_2
gg-tpc-db0dca7c,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 양평 TPC 골프장 / 양평군 지평면 대평평장길 133-8 / 대중제,true,full_safe_batch_2
gg-course-92986cfc,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 여주 / 여주시 월평로 78(여주읍 월송리 35-10) / 회원제,true,full_safe_batch_2
gg-course-b82c826d,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 남여주 / 여주시 가여로 532(여주읍 하거리 산49) / 대중제,true,full_safe_batch_2
gg-course-d7292b00,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 소피아그린 / 여주시 점동면 소피아그린길 84(점동면 현수리 산13) / 대중제,true,full_safe_batch_2
