course_slug,policy_type,source_type,source_url,source_title,captured_text,is_current,note
blackstone-icheon,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 블랙스톤리조트이천 / 이천시 장호원읍 장여로 459-160 / 회원제/대중제,true,full_safe_batch_1
haesley-nine-bridges,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 해슬리나인브릿지 / 여주시 명품1로 76(여주읍 연라리 산67-1 일원) / 회원제,true,full_safe_batch_1
gold-cc,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골드CC / 용인시 기흥구 기흥단지로 398 / 회원제,true,full_safe_batch_1
solmoro,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 솔모로 / 여주시 가남읍 솔모로그린길 171(가남면 양귀리 산69) / 회원제,true,full_safe_batch_1
south-springs,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 사우스스프링스C.C. / 이천시 모가면 공원로 64 / 대중제,true,full_safe_batch_1
blueone-yongin,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 블루원용인CC / 용인시 처인구 원삼면 보개원삼로 1534번길 40 / 회원제/대중제,true,full_safe_batch_1
lakewood,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 레이크우드 골프장 / 양주시 만송로 244 / 대중제,true,full_safe_batch_1
namseoul-cc,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 남서울컨트리클럽 / 성남시 분당구 안양판교로1201번길 1201 / 회원제,true,full_safe_batch_1
castlex-jeju,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 캐슬렉스제주GC / 서귀포시 평화로 1241 / 회원제/대중제,true,full_safe_batch_1
golfzon-county-cheonan,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골프존카운티 천안 / 천안시 동남구 병천면 매성2길 103 / 대중제,true,full_safe_batch_1
hanlim-yongin,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 한림용인CC / 용인시 처인구 남사읍 경기동로 628 / 대중제,true,full_safe_batch_1
