course_slug,policy_type,policy_summary,source_text,days_before_open,open_weekday,open_time,monthly_open_day,monthly_offset_months,rule_interpretation,manual_open_datetime,is_active,note
blackstone-icheon,days_before,공식 사이트 예약일정표 존재(오픈 수치 미확정),상반기 주말·공휴일 예약일정표 업로드 공지 확인,,,,,,,,true,일정표 본문 접근 후 수치 확정 필요
haesley-nine-bridges,days_before,공식 사이트 기준 규칙 확인 필요,나인브릿지 공식 사이트 확인. 회원제 규칙 상세 필요,,,,,,,,true,프라이빗 정책 반영 필요
gold-cc,days_before,운영사 사이트 확인(오픈 수치 미확정),"골드CC 예약실/연락처 확인, 공식 예약 오픈 규칙 문구 확보 필요",,,,,,,,true,서드파티 수치 존재하나 공식 근거 확보 전 미반영
solmoro,days_before,정회원 기준 4주 전 월요일 09:00 오픈(공식 공지),"평일 - 4주전 월요일 오전 9시(월,화,수,목)",28,1,09:00:00,,,weekday_rule,,true,Source: https://www.solmoro.com/Board/BoardView?board_idx=1&bd_main_seq=143
south-springs,days_before,라운드일 기준 4주 전 월요일 09:00 오픈(추가 검증 필요),실시간예약은 라운드일 기준 4주전 월요일 9시부터 가능 문구 확인,28,1,09:00:00,,,weekday_rule,,true,모바일 예약 페이지 스니펫 기반(추가 검증 필요)
blueone-yongin,days_before,예약안내 페이지 확인(오픈 수치 미확정),"공식 예약안내 페이지 존재 확인, 회원제/퍼블릭 규칙 분리 확인 필요",,,,,,,,true,오픈일시 문구 확보 전 수치 미반영
lakewood,days_before,일반회원 기준 해당일 20일 전 10:00 오픈,일반회원: 20일전 10:00 예약(Privilege 25일전 10:00 별도),20,,10:00:00,,,days_before,,true,예약안내 페이지 기준(일반회원 기준값 반영)
namseoul-cc,days_before,공식 사이트 확인(오픈 수치 미확정),"실시간예약 제공 확인, 예약 오픈 간격/시간 문구 추가 필요",,,,,,,,true,회원제 특성상 공개 문구 제한 가능
castlex-jeju,days_before,공식 사이트 확인(오픈 수치 미확정),공식 사이트에서 연락처/사업장 정보 확인. 예약 오픈 규칙 문구는 미노출,,,,,,,,true,수치 확정은 예약안내/공지 상세 접근 필요
golfzon-county-cheonan,days_before,"매일 오전 9시, 해당일자 4주 뒤 오픈","골프존카운티 천안 예약안내(인터넷 오픈): [예약오픈: 매일 오전 9시, 해당일자 4주 뒤 오픈] (https://www.golfzoncounty.com/golfclub/resvGuide?golfclubSeq=47)",28,,09:00:00,,,매일 09:00에 28일(4주) 뒤 날짜의 티타임이 오픈됨,,true,수치 확정하려면 지점별 예약정책/로그인 화면 추가 확인 필요
hanlim-yongin,days_before,공식 사이트 캘린더 확인(오픈 수치 미확정),공식 메인에서 잔여팀 캘린더/그린피 공지 확인. 예약 오픈 간격·시간 문구는 미노출,,,,,,,,true,수치 확정하려면 로그인/예약규정 페이지 접근 필요
lotte-skyhill-jeju,days_before,예약 오픈일 변경 공지 존재(세부 수치 미확정),"제주CC 예약 오픈일 기준 변경 안내 공지 존재 확인, 상세 오픈 간격/시간 추가 필요",,,,,,,,true,공식 공지 상세 열람 후 수치 확정 필요
jade-palace,days_before,예약/요금안내 페이지 확인(수치 미확정),"공식 안내 페이지 접근 확인, 예약 오픈 규칙(접수일/시간) 문구 추가 수집 필요",,,,,,,,true,비공식 블로그 수치 존재하나 공식 근거 확보 전 미반영
