course_slug,policy_type,policy_summary,source_text,days_before_open,open_weekday,open_time,monthly_open_day,monthly_offset_months,rule_interpretation,manual_open_datetime,is_active,note
gw-21-daf11173,days_before,,,,,,,,,,true,
gw-21-ii-58fb5f24,days_before,,,,,,,,,,true,
gw-21-9606815a,days_before,,,,,,,,,,true,
gw-course-cd1d7a17,days_before,,,,,,,,,,true,
gw-course-1de52941,days_before,,,,,,,,,,true,
gw-course-5e8eeece,days_before,,,,,,,,,,true,
gw-course-c92fa6aa,days_before,,,,,,,,,,true,
gw-and-d7fdf935,days_before,,,,,,,,,,true,
gw-c-c-a3c6adee,days_before,,,,,,,,,,true,
gw-course-4ca7b4de,days_before,,,,,,,,,,true,
gw-course-e5d00329,days_before,,,,,,,,,,true,
gw-course-005c60c6,days_before,,,,,,,,,,true,
gw-course-e8bc54a7,days_before,,,,,,,,,,true,
gw-course-8545fd51,days_before,,,,,,,,,,true,
gw-course-f61e5a1c,days_before,,,,,,,,,,true,
gw-course-a9b8a351,days_before,,,,,,,,,,true,
gw-course-257b401e,days_before,,,,,,,,,,true,
gw-course-2fafafde,days_before,,,,,,,,,,true,
gw-course-e70d7204,days_before,,,,,,,,,,true,
gw-and-c2f470eb,days_before,,,,,,,,,,true,
gw-course-9ceea4b4,days_before,,,,,,,,,,true,
gw-and-3bb6b29a,days_before,,,,,,,,,,true,
gw-course-d16f2530,days_before,,,,,,,,,,true,
gw-course-9ebbd422,days_before,,,,,,,,,,true,
gw-course-fe9c891d,days_before,,,,,,,,,,true,
gw-course-dee572a5,days_before,,,,,,,,,,true,
gw-course-5bf10d8c,days_before,,,,,,,,,,true,
gw-course-0575927b,days_before,,,,,,,,,,true,
gw-course-8e0c13e9,days_before,,,,,,,,,,true,
gw-course-549a493a,days_before,,,,,,,,,,true,
gw-course-c069f64a,days_before,,,,,,,,,,true,
gw-course-ba05b062,days_before,,,,,,,,,,true,
gw-course-5fc22ddb,days_before,,,,,,,,,,true,
gw-course-c212c325,days_before,,,,,,,,,,true,
gw-700-7527699e,days_before,,,,,,,,,,true,
gw-course-2965e0de,days_before,,,,,,,,,,true,
gw-course-1ff7dd03,days_before,,,,,,,,,,true,
gw-course-29cb8e09,days_before,,,,,,,,,,true,
gw-course-98372db4,days_before,,,,,,,,,,true,
gw-course-cc9c46d3,days_before,,,,,,,,,,true,
gw-course-a95c5afd,days_before,,,,,,,,,,true,
gw-course-15f415f0,days_before,,,,,,,,,,true,
gw-course-f1247706,days_before,,,,,,,,,,true,
cb-course-7317092f,days_before,,,,,,,,,,true,
cb-course-fe5a12fe,days_before,,,,,,,,,,true,
cb-course-6ffed520,days_before,,,,,,,,,,true,
cb-course-9a37332e,days_before,,,,,,,,,,true,
cb-course-ec098c8c,days_before,,,,,,,,,,true,
cb-course-08417dc6,days_before,,,,,,,,,,true,
cb-course-c99791c3,days_before,,,,,,,,,,true,
cb-course-3124ecd8,days_before,,,,,,,,,,true,
cb-course-cceb7e5d,days_before,,,,,,,,,,true,
cb-course-a4706ad8,days_before,,,,,,,,,,true,
cb-course-fee4bcd8,days_before,,,,,,,,,,true,
cb-course-c376ccf6,days_before,,,,,,,,,,true,
cb-course-d3185305,days_before,,,,,,,,,,true,
cb-course-7612c73e,days_before,,,,,,,,,,true,
cb-course-6ae4a810,days_before,,,,,,,,,,true,
cb-course-a9857544,days_before,,,,,,,,,,true,
cb-course-4ceb9722,days_before,,,,,,,,,,true,
cb-course-e7f0426f,days_before,,,,,,,,,,true,
cb-course-3be57936,days_before,,,,,,,,,,true,
cb-course-1e6fc0c5,days_before,,,,,,,,,,true,
cb-course-d404ff1c,days_before,,,,,,,,,,true,
cb-course-f4d8e7ca,days_before,,,,,,,,,,true,
cb-course-ec307536,days_before,,,,,,,,,,true,
cb-course-c02e34e9,days_before,,,,,,,,,,true,
cb-course-4da07be7,days_before,,,,,,,,,,true,
cb-course-5ad33c88,days_before,,,,,,,,,,true,
cb-course-ba7c8fd5,days_before,,,,,,,,,,true,
cb-course-5a90ea37,days_before,,,,,,,,,,true,
cb-course-a81b2d0b,days_before,,,,,,,,,,true,
cb-course-0dcccb74,days_before,,,,,,,,,,true,
cb-course-e3a7cd7e,days_before,,,,,,,,,,true,
cb-course-44b3377c,days_before,,,,,,,,,,true,
cb-course-3a454984,days_before,,,,,,,,,,true,
cb-course-dbc52705,days_before,,,,,,,,,,true,
cb-course-973eaaa4,days_before,,,,,,,,,,true,
cb-course-8b712b5d,days_before,,,,,,,,,,true,
cb-course-875d640d,days_before,,,,,,,,,,true,
cn-course-633cb18f,days_before,,,,,,,,,,true,
cn-course-3644beff,days_before,,,,,,,,,,true,
cn-course-af5e82a1,days_before,,,,,,,,,,true,
cn-course-f547ebb9,days_before,,,,,,,,,,true,
cn-course-35936ed9,days_before,,,,,,,,,,true,
cn-course-a00762ea,days_before,,,,,,,,,,true,
cn-course-d9954bcb,days_before,,,,,,,,,,true,
cn-course-7b7e3739,days_before,,,,,,,,,,true,
cn-course-73e45064,days_before,,,,,,,,,,true,
cn-and-62b36d36,days_before,,,,,,,,,,true,
cn-course-c7a4e26a,days_before,,,,,,,,,,true,
cn-course-d0622a1e,days_before,,,,,,,,,,true,
cn-course-2da0fb85,days_before,,,,,,,,,,true,
cn-course-4093cbff,days_before,,,,,,,,,,true,
cn-course-5f4e6137,days_before,,,,,,,,,,true,
cn-course-e9100428,days_before,,,,,,,,,,true,
cn-course-3754b263,days_before,,,,,,,,,,true,
cn-course-5a38e286,days_before,,,,,,,,,,true,
cn-and-d6fea224,days_before,,,,,,,,,,true,
cn-course-31d1ed89,days_before,,,,,,,,,,true,
