slug,name,english_name,region_primary,region_secondary,address,phone,homepage_url,booking_url,map_url,membership_required,membership_note,booking_note,status,verification_status
cn-1-5e78f516,로얄링스1,,충남,태안,태안군 태안읍 반곡길 284,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
cn-2-4d283443,로얄링스2,,충남,태안,태안군 태안읍 반곡길 284,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
cn-cc1-2f9359fd,솔라고CC1,,충남,태안,태안군 태안읍 소곳이길 92-234,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
cn-cc2-c3d41cc5,솔라고CC2,,충남,태안,태안군 태안읍 소곳이길 92-234,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gb-c-c-a20194c5,오션힐스포항C.C(회),,경북,포항,포항시 북구 송라면 대전길 7,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
gb-c-c-9f2363db,오션힐스포항C.C(대),,경북,포항,포항시 북구 송라면 대전길 7,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gb-c-c-813917dd,청하이스턴C.C,,경북,포항,포항시 청하면 용산길 94,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
gb-c-c-d417b4fb,포항C.C,,경북,포항,포항시 송라면 동해대로 2751번길 123,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gb-c-c-ebef110c,경주신라C.C,,경북,경주,경주시 보문로 319,,,,,true,회원제,odcloud batch import / holes=36 / source_count=1,active,draft
gb-g-c-e672ffdc,보문G.C,,경북,경주,경주시 보문로 182-14,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
gb-c-c-d4184431,경주C.C,,경북,경주,경주시 보문로 182-98,,,,,false,대중제,odcloud batch import / holes=27 / source_count=1,active,draft
